
--- Test Case 1 ---
Thread_No  Hash_Value      Validity   Role       Value read/written
5          6104330240      dummy      writer     6417           
1          6096875520      real       writer     5214           
8          6106050560      dummy      writer     2056           
6          6104903680      dummy      writer     236            
5          6099169280      real       writer     9343           
4          6103756800      dummy      writer     2314           
3          6103183360      dummy      writer     1741           
8          6106050560      dummy      writer     357            
7          6105477120      dummy      writer     5732           
6          6104903680      dummy      writer     4018           
1          6102036480      dummy      writer     4126           
2          6097448960      real       writer     1006           
4          6103756800      dummy      writer     311            
8          6100889600      real       writer     5094           
1          6096302080      real       reader     5094           
5          6104330240      dummy      writer     4988           
3          6098022400      real       writer     8774           
1          6096875520      real       writer     5012           
6          6099742720      real       writer     9038           
1          6101463040      dummy      reader     5094           
7          6100316160      real       writer     6097           
2          6102609920      dummy      writer     3908           
4          6098595840      real       writer     8355           
5          6099169280      real       writer     4706           
4          6103756800      dummy      writer     9613           
4          6098595840      real       writer     8935           
1          6101463040      dummy      reader     1629           
3          6103183360      dummy      writer     4316           
6          6099742720      real       writer     5419           
8          6100889600      real       writer     8486           
2          6102609920      dummy      writer     6825           
5          6099169280      real       writer     8511           
7          6105477120      dummy      writer     4158           
8          6106050560      dummy      writer     1629           
1          6096302080      real       reader     8486           
3          6098022400      real       writer     3736           
6          6104903680      dummy      writer     6753           
2          6097448960      real       writer     9492           
1          6102036480      dummy      writer     3094           
5          6104330240      dummy      writer     2896           
7          6100316160      real       writer     1502           
1          6096875520      real       writer     826            
8          6100889600      real       writer     7875           
4          6098595840      real       writer     4188           
6          6099742720      real       writer     893            
2          6102609920      dummy      writer     6675           
3          6098022400      real       writer     145            
3          6103183360      dummy      writer     6844           
6          6104903680      dummy      writer     1187           
1          6096875520      real       writer     3433           
8          6106050560      dummy      writer     8286           
7          6105477120      dummy      writer     5942           
1          6096302080      real       reader     5942           
5          6104330240      dummy      writer     6049           
4          6103756800      dummy      writer     6520           
7          6100316160      real       writer     5066           
5          6099169280      real       writer     637            
2          6097448960      real       writer     1361           
1          6102036480      dummy      writer     4622           
1          6101463040      dummy      reader     4622           
